Products,Products,Products,,,,Products
Name,Description,Category,GST,Rent,Purchase Price,Qty
SEMI-33,Sky blue/ Majenta BH,Semi Classical,5,420.00,1800.00,5
SEMI-32,Peacock blue/Red skirt BH,Semi Classical,5,470.00,1800.00,8
SEMI-31,Green skirt/Majenta brocade BH,Semi Classical,5,420.00,1800.00,3
SEMI-30,Gteen skirt/Red parts BH,Semi Classical,5,530.00,1800.00,9
SEMI-29,Blue skirt/ Green Manichithra thazhu,Semi Classical,5,530.00,1800.00,10
SEMI-28,Vadamulla surf blue Renga pooja model,Semi Classical,5,470.00,1800.00,12
SEMI-27,Neriyathu skirt half saree,Semi Classical,5,420.00,1800.00,10
SEMI-26,"Kilipaha dot skirt,Red blouse",Semi Classical,5,530.00,1800.00,7
SEMI-25,Violet skirt green brocade skirt BH,Semi Classical,5,630.00,2200.00,10
SEMI-24,Pista green violet brocade skirt model BH,Semi Classical,5,630.00,2200.00,10
SEMI-23,Blue Majenta brocade skirt model BH,Semi Classical,5,630.00,2200.00,10
SEMI-22,Red blue skirt model BH,Semi Classical,5,580.00,2200.00,10
SEMI-21,Black and Gold snake dance type Old,Semi Classical,5,370.00,1800.00,6
SEMI-20,"Brown/Black border, yellow blouse",Semi Classical,5,325.00,1800.00,3
SEMI-19,Brown/Majenta skirt,Semi Classical,5,325.00,1800.00,4
SEMI-18,Orange skirt/ Green blouse,Semi Classical,5,325.00,1800.00,6
SEMI-17,Majenta skir/ Green blouse,Semi Classical,5,325.00,1800.00,6
SEMI-16,Orange satin/ Blue semi,Semi Classical,5,470.00,1800.00,5
SEMI-15,Blue satin/Orange semi,Semi Classical,5,470.00,1800.00,5
SEMI-14,Merroon Kannagi set,Semi Classical,5,680.00,2200.00,10
SEMI-13,Ash/Majenta saree model,Semi Classical,5,630.00,2200.00,10
SEMI-12,Pista green/Violet brocade semi,Semi Classical,5,630.00,2200.00,10
SEMI-11,Full red saree type semi,Semi Classical,5,530.00,1800.00,10
SEMI-10,Red/Blue check semi,Semi Classical,5,530.00,1800.00,10
SEMI-9,Blueviolet/Majenta semi,Semi Classical,5,630.00,2200.00,13
SEMI-8,Kilipacha/ Vadamulla semi,Semi Classical,5,370.00,1800.00,3
SEMI-7,Majenta pant/ Green brocade,Semi Classical,5,370.00,1800.00,1
SEMI-6,Black silver sequence /Snakle set,Semi Classical,5,530.00,1800.00,7
SEMI-5,Black gold new,Semi Classical,5,630.00,2200.00,10
SEMI-4,Black gold old,Semi Classical,5,530.00,1800.00,9
SEMI-3,Re pant/Black vlouse,Semi Classical,5,630.00,2200.00,10
SEMI-2,Black Pant/Blue back seat,Semi Classical,5,580.00,2200.00,7
SEMI-1,Majenta pant/Green brocade,Semi Classical,5,750.00,2200.00,8
CROWN-46,Rubber crown,Property,12,125.00,,1
MASK-11,Horror mask with wig,Property,12,175.00,,1
LINGAM-1,Siva lingam light weight black,Property,12,450.00,,1
THEYYAM-2,Theyyam vatta mudi small,Property,12,450.00,,2
TREE-2,Tree cutout big with stand,Property,12,400.00,,1
PALLAKKU-1,Pallakku,Property,12,560.00,,1
NETTIPATTAM-1,Nettipattam small,Property,12,80.00,,7
MAYILPEELI-1,Mayilpeeli wings tie at back,Property,12,350.00,,2
KALAPPA-1,Kalappa,Property,12,125.00,,1
THEYYAM-1,Theyyam big vatta mudi,Property,12,675.00,,1
TREE-1,Tree cutout cardboard,Property,12,175.00,,1
STICK-7,Stick,Property,12,60.00,,3
POOKOODA-5,Gold paint small pookooda,Property,12,80.00,,2
MURAM-4,Nellu koriyidunna muram,Property,12,220.00,,1
KUTTA-6,Kashmiri kutta,Property,12,175.00,,1
HANDBELT-2,Hip tying belt with hand,Property,12,175.00,,1
SKULLMALA-2,Skull mala plastic,Property,12,80.00,,5
HEAD-2,Head green paint/white paint,Property,12,125.00,,2
GADHA-3,Gadha gold new,Property,12,220.00,,2
HANDCUFF-2,"For hand,leg,head",Property,12,325.00,,1
HANDCUFF-1,For hands on;y,Property,12,80.00,,2
HAND-1,Bhadrakali hand-6,Property,12,350.00,,1
CAP-17,Tricolour cap,Property,12,80.00,,2
KOODU-1,Thatha koodu,Property,12,125.00,,5
RANTHAL-2,Small ranthal,Property,12,80.00,,2
RANTHAL-1,Big ranthal,Property,12,175.00,,1
KUTTA-8,Kutta for pookari,Property,12,125.00,,1
KUTTA-7,Kutta with cover lid,Property,12,125.00,,1
CROWN-45,B;ack cardboard simple,Property,12,60.00,,7
CROWN-44,Yellow red rain drop arch,Property,12,80.00,,16
CROWN-43,Sponge centre crown/thick yellow stone,Property,12,125.00,,10
CROWN-42,White pearl blue rain drop,Property,12,80.00,,8
CROWN-41,White stone/ blue green beeds,Property,12,80.00,,7
CROWN-40,Silver kudam type,Property,12,80.00,,14
CROWN-39,White pearl/green raindrop round,Property,12,80.00,,8
CROWN-38,White stone with red raindrop ,Property,12,125.00,,10
CROWN-37,Ravana Crown,Property,12,350.00,,1
STICK-6,Dhandiya Stick,Property,12,30.00,,30
CUTOUT-3,Lion,Property,12,175.00,,1
CUTOUT-2,Kaala,Property,12,175.00,,1
CUTOUT-1,Elephant front view,Property,12,280.00,,1
CHARKA-1,Charka,Property,12,125.00,,2
KAVADI-4,New Thrishur Kavadi,Property,12,150.00,,10
POOKOODA-4,Bamboo pookooda,Property,12,175.00,,1
POOKOODA-3,Black wire,Property,12,80.00,,2
POOKOODA-2,Light weight Oval,Property,12,80.00,,1
KUDAM-4,Red black velvet kudam,Property,12,150.00,,6
POMSTICK-3,Majenta green blue red mix,Property,12,30.00,,38
POMSTICK-2,Silver,Property,12,30.00,,20
POMSTICK-1,Gold,Property,12,30.00,,9
MASK-10,Narasimham Mask,Property,12,175.00,,1
MASK-9,Halloween Mask,Property,12,50.00,,8
VEENA-4,Light weight veena,Property,12,280.00,,1
BUTTERFLY-3,Butterfly wings Pink,Property,12,30.00,,1
BUTTERFLY-2,Butterfly wings white,Property,12,30.00,,12
CROWN-36,New Krishna stone kettu crown,Property,12,125.00,,3
CROWN-35,Swathi Thirunal crown,Property,12,280.00,,1
CROWN-34,Mayilpeeli crown,Property,12,125.00,,7
CROWN-33,Black velvet 5 kombu crown,Property,12,125.00,,10
CROWN-32,Gandharva crown,Property,12,125.00,,10
CROSS-1,Kurishu big,Property,12,280.00,,1
HANDBELT-1,Handbelt,Property,12,125.00,,1
SKULLMALA-1,Thalayotti mala,Property,12,80.00,,8
KAVADI-3,Velvet strong Kavadi,Property,12,175.00,,1
KAVADI-2,Velvet kavadi,Property,12,150.00,,6
KAVADI-1,Small kavadi cardboard,Property,12,125.00,,7
POOKOODA-1,Brass pookooda with handle,Property,12,125.00,,8
DAMARU-2,Big Damaru,Property,12,50.00,,19
DAMARU-1,Small damaru,Property,12,30.00,,4
MADHALAM-1,Madhalam,Property,12,175.00,,1
CHENDA-1,Chenda,Property,12,175.00,,1
KOMBU-1,Kombu musical instrument,Property,12,80.00,,3
VEENA-3,Pullor kudam veena big,Property,12,175.00,,1
VEENA-2,Original veena,Property,12,840.00,,1
VEENA-1,Pullor veena,Property,12,80.00,,5
DUFF-1,Duff,Property,12,70.00,,5
FLAME-1,Flame cutout to hold,Property,12,60.00,,6
LAMP-1,Alladin lamp,Property,12,80.00,,3
KUDAM-3,Karakatta kudam,Property,12,125.00,,12
KUDAM-2,Velvet kudam big,Property,12,175.00,,6
KUDAM-1,Brown painted small kudam,Property,12,80.00,,8
VENCHA-2,Venchamaram small,Property,12,80.00,,1
VENCHA-1,Venchamaram big,Property,12,220.00,,2
MURAM-3,Square muram,Property,12,50.00,,4
MURAM-2,Painted muram,Property,12,125.00,,1
MURAM-1,Normal muram,Property,12,50.00,,7
HEAD-1,Asuran thala,Property,12,80.00,,4
VELAKALISET-1,"Paricha kambu,kaikettu,scarf,shawl",Property,12,200.00,,10
GADHA-2,Gadha big,Property,12,220.00,,2
GADHA-1,Gadha small,Property,12,80.00,,3
TAIL-1,Hanuman tail,Property,12,80.00,,3
GUN-1,Long Gun,Property,12,80.00,,15
CHAKRAM-1,Chakram,Property,12,60.00,,3
STICK-5,Kuntham,Property,12,60.00,,5
STICK-4,Chengol blue,Property,12,80.00,,1
STICK-3,Snake stick,Property,12,80.00,,1
STICK-2,Police stick lathi wood,Property,12,60.00,,2
STICK-1,Police stick silver end,Property,12,80.00,,6
ODAKUZHAL-2,Odakuzhal pearl hanging,Property,12,80.00,,1
ODAKUZHAL-1,Odakuzhal ordinary,Property,12,20.00,,42
SHANGU-2,Shangu small,Property,12,50.00,,2
SHANGU-1,Shangu big,Property,12,80.00,,5
CHILAMBU-2,Chilambu fiber,Property,12,80.00,,7
CHILAMBU-1,Chilambu light weight,Property,12,60.00,,5
PARICHA-6,Paricha brass,Property,12,125.00,,2
PARICHA-5,Paricha small metal,Property,12,80.00,,4
PARICHA-4,Paricha cardboard,Property,12,70.00,,11
PARICHA-3,Paricha painted,Property,12,125.00,,6
PARICHA-2,Paricha very big metal,Property,12,220.00,,1
PARICHA-1,Paricha light weight,Property,12,50.00,,9
CHILANKA-2,Buckle/welcrow chilanaga,Property,12,175.00,,20
CHILANKA-1,Kettu chilanka,Property,12,80.00,,30
MASK-8,Gold eye mask,Property,12,30.00,,2
MASK-7,Flexible rubber ganapathy mask,Property,12,175.00,,1
MASK-6,Light weight ganapathy mask,Property,12,80.00,,2
MASK-5,Ganapathy half mask velvet,Property,12,125.00,,2
MASK-4,Ganapathy mask full face red,Property,12,125.00,,3
MASK-3,Narasimhan mask,Property,12,80.00,,1
MASK-2,Hanuman mask,Property,12,30.00,,1
MASK-1,Ganapathy mask,Property,12,125.00,,1
AVANAZHI-1,Avanazhi ambu,Property,12,80.00,,5
VILLU-1,Villu,Property,12,125.00,,4
MAZHU-2,Small mazhu wood,Property,12,60.00,,2
MAZHU-1,Mazhu fiber,Property,12,80.00,,2
VEL-2,Vel Big,Property,12,125.00,,1
VEL-1,Vel Medium,Property,12,80.00,,10
SHOOLAM-4,Shoolam sharp,Property,12,150.00,,10
SHOOLAM-3,Shoolam big light weight,Property,12,150.00,,10
SHOOLAM-2,Shoolam small,Property,12,125.00,,14
SHOOLAM-1,Shoolam silver,Property,12,125.00,,1
KAMANDALAM-2,Big Kamandalam,Property,12,80.00,,8
KAMANDALAM-1,Small Kamandalam,Property,12,60.00,,5
VALLAM-1,Cardboard vallam,Property,12,280.00,,1
UMBRELLA-7,Muthukuda big,Property,12,125.00,,1
UMBRELLA-6,Muthukuda small,Property,12,125.00,,1
UMBRELLA-5,Olakuda big,Property,12,220.00,,15
UMBRELLA-4,Olakuda small,Property,12,175.00,,14
UMBRELLA-3,Small blue umbrella,Property,12,60.00,,10
UMBRELLA-2,Chinese umbrella with side hanging,Property,12,80.00,,2
UMBRELLA-1,Chinese umbrella purple,Property,12,60.00,,23
FAN-5,Mayil peepli vishari,Property,12,60.00,,17
FAN-4,Long cloth hanging fan,Property,12,60.00,,12
FAN-3,Colorful cloth veeshari,Property,12,30.00,,6
FAN-2,Chinese fan with feather,Property,12,50.00,,8
FAN-1,Chinese fan,Property,12,30.00,,17
KUTTA-5,Long type Kutta,Property,12,60.00,,1
KUTTA-4,Pookada model Kutta,Property,12,30.00,,8
KUTTA-3,Arivatti model Kutta,Property,12,30.00,,4
KUTTA-2,Side paper wrapped Kutta,Property,12,30.00,,10
KUTTA-1,Plain Kutta,Property,12,30.00,,2
VAAL-9,Small vaal with handle,Property,12,10.00,,1
VAAL-8,Velichapadu gold mediumVaal,Property,12,80.00,,10
VAAL-7,Asuran vaal,Property,12,70.00,,5
VAAL-6,Heavy vaal with ura Vaal,Property,12,280.00,,2
VAAL-5,Vaal with ura Vaal,Property,12,150.00,,1
VAAL-4,Arivaal small Vaal,Property,12,60.00,,7
VAAL-3,Velichapadu vaal Gold big Vaal,Property,12,175.00,,1
VAAL-2,Velichapadu Vaal Black Vaal,Property,12,125.00,,7
VAAL-1,Weightless vaal Black handle Vaal,Property,12,80.00,,20
BUTTERFLY-1,Butterfly wings big,Property,12,125.00,,9
FLOWER-6,Offwhite sunflower sponge,Property,12,80.00,,25
FLOWER-5,Big lotus majenta,Property,12,125.00,,10
FLOWER-4,Orange sunflower face,Property,12,80.00,,16
FLOWER-3,Orange sunflower,Property,12,80.00,,9
FLOWER-2,Yellow sunflower,Property,12,80.00,,19
FLOWER-1,Small Lotus flower,Property,12,80.00,,12
CAP-16,Cone shape thoppi,Property,12,80.00,,1
CAP-15,Pala thoppi,Property,12,50.00,,1
CAP-14,Blue marathi cap,Property,12,125.00,,1
CAP-13,Merroon Rajasthani cap,Property,12,80.00,,1
CAP-12,Green Rajasthani cap,Property,12,80.00,,1
CAP-11,Green red seqeunceRajasthani cap,Property,12,80.00,,2
CAP-10,Yellow blue sequence Rajasthani cap,Property,12,80.00,,2
CAP-9,Yellow red Rajasthani cap,Property,12,80.00,,11
CAP-8,Majenta Marathi cap,Property,12,80.00,,1
CAP-7,White Marathi cap,Property,12,80.00,,1
CAP-6,Yellow Marathi cap,Property,12,80.00,,1
CAP-5,Merron offwhite marathi cap,Property,12,80.00,,3
CAP-4,Cow boy cap Orange,Property,12,80.00,,2
CAP-3,Cow boy cap Ash,Property,12,80.00,,12
CAP-2,White Cap,Property,12,30.00,,1
CAP-1,Black cap,Property,12,30.00,,9
CROWN-31,Mayavu kombu Crown,Property,12,60.00,,1
CROWN-30,Luttappi kombu Crown,Property,12,60.00,,2
CROWN-29,Mul kereedam Crown,Property,12,80.00,,3
CROWN-28,Cristian king crown gold,Property,12,60.00,,4
CROWN-27,Christian king crown silver,Property,12,60.00,,6
CROWN-26,Maveli crown cardboard,Property,12,150.00,,1
CROWN-25,Maveli crown heavy,Property,12,220.00,,1
CROWN-24,Asuran crown black,Property,12,80.00,,4
CROWN-23,Jhansi rani crown,Property,12,60.00,,16
CROWN-22,Green curl crown,Property,12,80.00,,1
CROWN-21,Gold painted crown with stone,Property,12,125.00,,1
CROWN-20,Green stone crown,Property,12,80.00,,10
CROWN-19,Mayil thala Crown,Property,12,80.00,,15
CROWN-18,Ravana crown,Property,12,220.00,,1
CROWN-17,Brahma crown,Property,12,175.00,,1
CROWN-16,Tribal feather crown,Property,12,80.00,,10
CROWN-15,Crown with white stone flower Crown,Property,12,80.00,,12
CROWN-14,Kombu crown white / Red stone,Property,12,125.00,,1
CROWN-13,Star crown white stone,Property,12,125.00,,3
CROWN-12,Krishna crown blue,Property,12,125.00,,1
CROWN-11,"Krishna crown green,orange, blue mix",Property,12,125.00,,11
CROWN-10,Krishna crown yellow blue Crown,Property,12,125.00,,12
CROWN-9,Andal konda gold lace Crown,Property,12,80.00,,7
CROWN-8,Andal konda stone Crown,Property,12,80.00,,9
CROWN-7,Gold snake bow Crown,Property,12,125.00,,10
CROWN-6,Black flame velvet Crown,Property,12,125.00,,8
CROWN-5,Blue velvet peacog with kudam design Crown,Property,12,150.00,,7
CROWN-4,Black 2 line gold lace Crown,Property,12,150.00,,10
CROWN-3,Black velvet bow with lekshmi print Crown,Property,12,150.00,,10
CROWN-2,Half ring gold with Crown,Property,12,125.00,,1
CROWN-1,Half ring silver Crown,Property,12,80.00,,12
PARTS-63SF,Majenta velvet print SF,Parts,5,50.00,,12
PARTS-63BS,Majenta velvet print BS,Parts,5,125.00,,12
PARTS-63HS,Majenta velvet print HS,Parts,5,125.00,,12
PARTS-62SF,Majenta brocade SF,Parts,5,50.00,,5
PARTS-62BS,Majenta brocade BS,Parts,5,125.00,,5
PARTS-62HS,Majenta brocade HS,Parts,5,125.00,,5
PARTS-50LF,Yellow Cotton check,Parts,5,80.00,,10
PARTS-50HS,Yellow Cotton Check,Parts,5,80.00,,10
PARTS-61SF,Orange Tissue brocade SF,Parts,5,50.00,,5
PARTS-61BS,Orange Tissue brocade BS,Parts,5,80.00,,3
PARTS-61HS,Orange Tissue brocade HS,Parts,5,80.00,,10
PARTS-60SF,Red Manichithrathazhu SF,Parts,5,80.00,,12
PARTS-60LF,Red Manichithrathazhu LF,Parts,5,175.00,,12
PARTS-60BS,Red Manichithrathazhu BS,Parts,5,150.00,,12
PARTS-60HS,Red Manichithrathazhu HS,Parts,5,150.00,,12
PARTS-59HS,Black manichithrathazhu HS,Parts,5,125.00,,6
PARTS-58BS,Blue big seq back seat,Parts,5,80.00,,2
PARTS-57LF,Silver chest coat long fan,Parts,5,80.00,,5
PARTS-57BS,Silver chest coat back seat,Parts,5,50.00,,10
PARTS-57HS,Silver chest coat hals saree,Parts,5,80.00,,5
PARTS-56SF,Red OM design,Parts,5,50.00,,2
PARTS-56LF,Red OM design,Parts,5,80.00,,3
PARTS-56BS,Red OM design,Parts,5,80.00,,3
PARTS-56HS,Red OM design,Parts,5,80.00,,3
PARTS-55SF,Yellow velvet self design,Parts,5,80.00,,10
PARTS-55BS,Yellow velvet self design,Parts,5,80.00,,10
PARTS-55HS,Yellow velvet self design,Parts,5,80.00,,10
PARTS-54BS,Blue velvet flower design ,Parts,5,125.00,,3
PARTS-54HS,Blue velvet flower design,Parts,5,150.00,,10
PARTS-53BS,Green velvet sequence,Parts,5,125.00,,7
PARTS-53SF,Green velvet sequence,Parts,5,80.00,,7
PARTS-53HS,Green velvet sequence,Parts,5,125.00,,7
PARTS-48LF,Black plain & seq velvet mix long fan only,Parts,5,175.00,,1
PARTS-45LF,Majenta net round design border,Parts,5,125.00,,17
PARTS-47BS,"	Light Orange with orange round seq border",Parts,5,80.00,,9
PARTS-45SF,Majenta net round design border,Parts,5,80.00,,9
PARTS-52LF,Black Velvet Seq LF,Parts,5,125.00,,10
PARTS-51HS,Merroon Velvet Kacha,Parts,5,125.00,,12
PARTS-51LF,Merroon Velvet Kachs LF,Parts,5,125.00,,12
PARTS-51BS,Merroon Velvet Kacha BS,Parts,5,125.00,,12
PARTS-49HS,Yellow velvet seq kacha,Parts,5,125.00,,10
PARTS-47SF,Light Orange with orange round seq border,Parts,5,80.00,,6
PARTS-47LF,Light Orange with orange round seq border,Parts,5,80.00,,6
PARTS-47HS,Light Orange with orange round seq border,Parts,5,80.00,,5
PARTS-46LF,Copper sulphate blue brocade,Parts,5,80.00,,10
PARTS-46BS,Copper sulphate blue brocade,Parts,5,80.00,,10
PARTS-46HS,Copper sulphate blue brocade,Parts,5,80.00,,10
PARTS-45BS,Majenta net round design border,Parts,5,125.00,,10
PARTS-45HS,Majenta net round design border,Parts,5,125.00,,10
PARTS-44SF,Majenta velvet sequence Kacha,Parts,5,80.00,,10
PARTS-44BS,Majenta velvet sequence Kacha,Parts,5,125.00,,10
PARTS-44HS,Majenta velvet sequence Kacha,Parts,5,125.00,,10
PARTS-43SF,Blue violet sequence kacha,Parts,5,80.00,,10
PARTS-43BS,Blue violet sequence kacha,Parts,5,125.00,,10
PARTS-43HS,Blue violet sequence kacha,Parts,5,125.00,,10
PARTS-42SF,Gold Brocade Kacha,Parts,5,80.00,,10
PARTS-42BS,Gold Brocade Kacha,Parts,5,125.00,,10
PARTS-42HS,Gold Brocade Kacha,Parts,5,125.00,,10
PARTS-41BS,Black plain,Parts,5,80.00,,7
PARTS-41HS,Black plain,Parts,5,80.00,,10
PARTS-40SF,Gold dot,Parts,5,80.00,,7
PARTS-40BS,Gold dot,Parts,5,80.00,,9
PARTS-39SF,Blue Brocade,Parts,5,80.00,,14
PARTS-39BS,Blue Brocade,Parts,5,80.00,,11
PARTS-39HS,Blue Brocade,Parts,5,80.00,,11
PARTS-38SF,Red Brocade,Parts,5,80.00,,11
PARTS-38BS,Red Brocade,Parts,5,80.00,,11
PARTS-38HS,Red Brocade,Parts,5,80.00,,11
PARTS-37SF,Green Brocade,Parts,5,80.00,,10
PARTS-37BS,Green Brocade,Parts,5,80.00,,10
PARTS-37HS,Green Brocade,Parts,5,80.00,,10
PARTS-36LF,Red gold print,Parts,5,80.00,,5
PARTS-36BS,Red gold print,Parts,5,80.00,,5
PARTS-36HS,Red gold print,Parts,5,80.00,,6
PARTS-35SF,Red gold brocade glass border,Parts,5,80.00,,11
PARTS-35LF,Red gold brocade glass border,Parts,5,80.00,,11
PARTS-35BS,Red gold brocade glass border,Parts,5,80.00,,12
PARTS-35HS,Red gold brocade glass border,Parts,5,80.00,,12
PARTS-34SF,Violet gold velvet seqence,Parts,5,80.00,,10
PARTS-34LF,Violet gold velvet seqence,Parts,5,80.00,,10
PARTS-34BS,Violet gold velvet seqence,Parts,5,80.00,,10
PARTS-34HS,Violet gold velvet seqence,Parts,5,80.00,,10
PARTS-33SF,Off white gold thread HS-10 BS-7 LF-1 SF-1,Parts,5,80.00,,1
PARTS-33LF,Off white gold thread HS-10 BS-7 LF-1 SF-1,Parts,5,80.00,,1
PARTS-33BS,Off white gold thread HS-10 BS-7 LF-1 SF-1,Parts,5,80.00,,7
PARTS-33HS,Off white gold thread HS-10 BS-7 LF-1 SF-1,Parts,5,80.00,,10
PARTS-32SF,"Green gold thread HS,BS,SF-7",Parts,5,80.00,,7
PARTS-32BS,"Green gold thread HS,BS,SF-7",Parts,5,80.00,,7
PARTS-32HS,"Green gold thread HS,BS,SF-7",Parts,5,80.00,,7
PARTS-31BS,Green velvet lace border HS-12 BS-12,Parts,5,80.00,,12
PARTS-31HS,Green velvet lace border HS-12 BS-12,Parts,5,80.00,,12
PARTS-30LF,"Green flower cloth blue gold HS,BF,LF-7",Parts,5,80.00,,7
PARTS-30BS,"Green flower cloth blue gold HS,BF,LF-7",Parts,5,80.00,,7
PARTS-30HS,"Green flower cloth blue gold HS,BF,LF-7",Parts,5,80.00,,7
PARTS-29SF,"Red velvet kacha-13,BS-10 SF-9",Parts,5,80.00,,9
PARTS-29BS,"Red velvet kacha-13,BS-10 SF-9",Parts,5,80.00,,10
PARTS-29HS,"Red velvet kacha-13,BS-10 SF-9",Parts,5,80.00,,13
PARTS-28LF,"Red brocade flower HS,BS,LF-10",Parts,5,80.00,,10
PARTS-28BS,"Red brocade flower HS,BS,LF-10",Parts,5,80.00,,10
PARTS-28HS,"Red brocade flower HS,BS,LF-10",Parts,5,80.00,,10
PARTS-27LF,"Gold brocade flower HS,BS,LF-8",Parts,5,80.00,,8
PARTS-27BS,"Gold brocade flower HS,BS,LF-8",Parts,5,80.00,,8
PARTS-27HS,"Gold brocade flower HS,BS,LF-8",Parts,5,80.00,,8
PARTS-26SF,"Yellow gold thread HS,BS,SF-11",Parts,5,80.00,,11
PARTS-26BS,"Yellow gold thread HS,BS,SF-11",Parts,5,80.00,,11
PARTS-26HS,"Yellow gold thread HS,BS,SF-11",Parts,5,80.00,,11
PARTS-25LF,"Red/Gold thread work HS,BS,LF-8",Parts,5,80.00,,8
PARTS-25BS,"Red/Gold thread work HS,BS,LF-8",Parts,5,80.00,,8
PARTS-25HS,"Red/Gold thread work HS,BS,LF-8",Parts,5,80.00,,8
PARTS-24SF,"Black & Red design HS,BS,LF-10 SF-9",Parts,5,80.00,,9
PARTS-24LF,"Black & Red design HS,BS,LF-10 SF-9",Parts,5,80.00,,10
PARTS-24BS,"Black & Red design HS,BS,LF-10 SF-9",Parts,5,80.00,,10
PARTS-24HS,"Black & Red design HS,BS,LF-10 SF-9",Parts,5,80.00,,10
PARTS-23LF,"Red brocade HS,BS,LF-10",Parts,5,80.00,,10
PARTS-23BS,"Red brocade HS,BS,LF-10",Parts,5,80.00,,10
PARTS-23HS,"Red brocade HS,BS,LF-10",Parts,5,80.00,,10
PARTS-22SF,"Green brocade HS,BS,SF,LF-10",Parts,5,80.00,,10
PARTS-22LF,"Green brocade HS,BS,SF,LF-10",Parts,5,80.00,,10
PARTS-22BS,"Green brocade HS,BS,SF,LF-10",Parts,5,80.00,,10
PARTS-22HS,"Green brocade HS,BS,SF,LF-10",Parts,5,80.00,,10
PARTS-21BS,Black design BS-10 HS-10,Parts,5,80.00,,10
PARTS-21HS,Black design BS-10 HS-10,Parts,5,80.00,,10
PARTS-20SF,"Orange apple cloth HS, BS, SF-8",Parts,5,80.00,,8
PARTS-20BS,"Orange apple cloth HS, BS, SF-8",Parts,5,80.00,,8
PARTS-20HS,"Orange apple cloth HS, BS, SF-8",Parts,5,80.00,,8
PARTS-19SF,"Majenta Brocade HS, BS, LF, SF-10",Parts,5,80.00,,10
PARTS-19LF,"Majenta Brocade HS, BS, LF, SF-10",Parts,5,80.00,,10
PARTS-19BS,"Majenta Brocade HS, BS, LF, SF-10",Parts,5,80.00,,10
PARTS-19HS,"Majenta Brocade HS, BS, LF, SF-10",Parts,5,80.00,,10
PARTS-18SF,Blue dot BS-10 HS-10 SF-22,Parts,5,80.00,,22
PARTS-18BS,Blue dot BS-10 HS-10 SF-22,Parts,5,80.00,,10
PARTS-18HS,Blue dot BS-10 HS-10 SF-22,Parts,5,80.00,,10
PARTS-17SF,"Yellow gold plain HS,BS,LF,SF-12",Parts,5,80.00,,12
PARTS-17LF,"Yellow gold plain HS,BS,LF,SF-12",Parts,5,80.00,,12
PARTS-17BS,"Yellow gold plain HS,BS,LF,SF-12",Parts,5,80.00,,12
PARTS-17HS,"Yellow gold plain HS,BS,LF,SF-12",Parts,5,80.00,,12
PARTS-16HS,White gold seq HS-10,Parts,5,80.00,,12
PARTS-15SF,Offwhite plain SF-10 BS-10,Parts,5,80.00,,10
PARTS-15BS,Offwhite plain SF-10 BS-10,Parts,5,80.00,,10
PARTS-14SF,Offwhite HS-8 BS-8 SF-9,Parts,5,80.00,,9
PARTS-14BS,Offwhite HS-8 BS-8 SF-9,Parts,5,80.00,,8
PARTS-14HS,Offwhite HS-8 BS-8 SF-9,Parts,5,80.00,,8
PARTS-13BS,Red velvet small dot BS-5,Parts,5,80.00,,8
PARTS-12SF,Red velvet flower design HS-9 BS-9 SF-8,Parts,5,80.00,,8
PARTS-12BS,Red velvet flower design HS-9 BS-9 SF-8,Parts,5,80.00,,9
PARTS-12HS,Red velvet flower design HS-9 BS-9 SF-8,Parts,5,80.00,,9
PARTS-11SF,Gold long fan,Parts,5,80.00,,9
PARTS-10SF,Blue velvet LF-14 SF-14,Parts,5,80.00,,14
PARTS-10LF,Blue velvet LF-14 SF-14,Parts,5,80.00,,14
PARTS-9SF,Plain black velvet HS-4 BS-4,Parts,5,80.00,,4
PARTS-9BS,Plain black velvet HS-4 BS-4,Parts,5,80.00,,4
PARTS-9HS,Plain black velvet HS-4 BS-4,Parts,5,80.00,,4
PARTS-8SF,Blue velvet HS-13 BS-13 SF-13,Parts,5,80.00,,13
PARTS-8BS,Blue velvet HS-13 BS-13 SF-13,Parts,5,80.00,,13
PARTS-8HS,Blue velvet HS-13 BS-13 SF-13,Parts,5,80.00,,13
PARTS-7SF,Orange velvet full sequence,Parts,5,80.00,,15
PARTS-7BS,Orange velvet full sequence,Parts,5,80.00,,12
PARTS-7HS,Orange velvet full sequence,Parts,5,80.00,,15
PARTS-6SF,Black velvet mirror border,Parts,5,80.00,,10
PARTS-6BS,Black velvet mirror border,Parts,5,80.00,,10
PARTS-6HS,Black velvet mirror border,Parts,5,80.00,,10
PARTS-5SF,Gold,Parts,5,80.00,,10
PARTS-5LF,Gold,Parts,5,80.00,,9
PARTS-5BS,Gold,Parts,5,80.00,,11
PARTS-5HS,Gold,Parts,5,80.00,,11
PARTS-4SF,Red sequence border LF/HS/BS/SF,Parts,5,80.00,,10
PARTS-4LF,Red sequence border LF/HS/BS/SF,Parts,5,80.00,,6
PARTS-4BS,Red sequence border LF/HS/BS/SF,Parts,5,80.00,,10
PARTS-4HS,Red sequence border LF/HS/BS/SF,Parts,5,80.00,,10
PARTS-3SF,Green full sequencemirror border HS/LF/BS/SF,Parts,5,80.00,,10
PARTS-3LF,Green full sequencemirror border HS/LF/BS/SF,Parts,5,80.00,,10
PARTS-3BS,Green full sequencemirror border HS/LF/BS/SF,Parts,5,80.00,,10
PARTS-3HS,Green full sequencemirror border HS/LF/BS/SF,Parts,5,80.00,,10
