Products,Products,Products,,,,Products
Name,Description,Category,GST,Rent,Purchase Price,Qty
SKTP-115,Black cotton yellow print 3 layer border,Skirt Top,5,420.00,1800.00,1
SKTP-114,Black mundu white red border with shawl,Skirt Top,5,400.00,1800.00,1
SKTP-113,White cotton red/black lace with shawl,Skirt Top,5,400.00,1800.00,1
SKTP-112,Majenta Rajasthani skirt blue blouse shawl Adult,Skirt Top,5,800.00,1800.00,10
SKTP-111,Majenta Rajasthani skirt blue blouse shawl new,Skirt Top,5,630.00,1800.00,10
SKTP-110,Fanta net seq skirt black multi seq top,Skirt Top,5,420.00,1800.00,12
SKTP-109,Majent multi seq tutu skirt top,Skirt Top,5,260.00,1800.00,10
SKTP-108,Kavi skirt/Black border black blouse,Skirt Top,5,325.00,1800.00,4
SKTP-107,Red mund/white border black or white blouse,Skirt Top,5,420.00,1800.00,3
SKTP-106,Yellow mix color flower skirt Green blouse,Skirt Top,5,370.00,1800.00,1
SKTP-105,Red white border skirt black blouse,Skirt Top,5,325.00,1800.00,2
SKTP-104,Red skirt blue border Red blouse,Skirt Top,5,325.00,1800.00,1
SKTP-103,White skirt blue border blue blouse,Skirt Top,5,325.00,1800.00,1
SKTP-102,Yellow skirt violet border violet blouse,Skirt Top,5,325.00,1800.00,1
SKTP-101,White skirt/b;lack red border black blouse,Skirt Top,5,370.00,1800.00,1
SKTP-100,Orange thattu skirt Orange blouse,Skirt Top,5,325.00,1800.00,1
SKTP-99,Red/White polka dot skirt Red blouse,Skirt Top,5,325.00,1800.00,1
SKTP-98,Blue chunkidi skirtyellow border blue blouse,Skirt Top,5,325.00,1800.00,1
SKTP-97,Blue/White flowerwhite round blouse,Skirt Top,5,420.00,1800.00,1
SKTP-96,White/blue yellow round skirt Red dot blouse,Skirt Top,5,370.00,1800.00,1
SKTP-95,White/Blue yellow round skirt blue dot blouse,Skirt Top,5,370.00,1800.00,1
SKTP-94,Black yellow Majenta big flower skirt yellow blous,Skirt Top,5,370.00,1800.00,1
SKTP-93,Red blue big flower skirt blue blouse,Skirt Top,5,370.00,1800.00,2
SKTP-92,Blue yellow mix big flower skirt blue blouse,Skirt Top,5,370.00,1800.00,2
SKTP-91,Peacock blue white small flower skirt blue blouse,Skirt Top,5,370.00,1800.00,1
SKTP-90,Yellow/Blue Merroon dot blue blouse,Skirt Top,5,325.00,1800.00,2
SKTP-89,Merroon Yellow small flower Merroon blouse,Skirt Top,5,370.00,1800.00,1
SKTP-88,Majenta/yellow green flower Green blouse,Skirt Top,5,420.00,1800.00,2
SKTP-87,Majenta chunkidi yellow border blouse folk,Skirt Top,5,370.00,1800.00,2
SKTP-86,Yellow white dot red dot green blouse,Skirt Top,5,420.00,1800.00,2
SKTP-85,Red/White  Dot Gree yellow border Red blouse,Skirt Top,5,325.00,1800.00,3
SKTP-84,Green white dot green blouse folk & Shawl,Skirt Top,5,325.00,1800.00,1
SKTP-13,Black red dot kids,Skirt Top,5,290.00,1800.00,9
SKTP-83,Black silver peach sequence,Skirt Top,5,290.00,1800.00,10
SKTP-82,Blue Rajasthani,Skirt Top,5,630.00,1800.00,2
SKTP-81,Merrron Rajasthani,Skirt Top,5,630.00,1800.00,2
SKTP-80,Red Gujarati small,Skirt Top,5,420.00,1800.00,4
SKTP-79,Red flaired Rajasthani,Skirt Top,5,630.00,1800.00,3
SKTP-78,White skirt Rajasthani set,Skirt Top,5,630.00,1800.00,1
SKTP-77,White skirt Rajasthani set,Skirt Top,5,630.00,1800.00,2
SKTP-76,Majenta skirt yellow blouse,Skirt Top,5,630.00,1800.00,1
SKTP-75,Black red Rajasthani blaack blouse,Skirt Top,5,630.00,1800.00,2
SKTP-74,Gold big seq top skirt,Skirt Top,5,290.00,1800.00,11
SKTP-73,Pink shirt bluejean cloth skirt bow tie,Skirt Top,5,325.00,1800.00,10
SKTP-72,"White net sjirtGold big seq top,gloves",Skirt Top,5,325.00,1800.00,12
